feature_1,feature_2,corr
Min,UDP,0.0341788308317971
Variance,rst_flag_number,-0.03357401892868927
Tot_sum,DNS,-0.03343092766937345
DHCP,ack_flag_number,0.033414393079942754
Max,ack_count,0.03340356122465113
Variance,rst_count,-0.033314726099394856
Tot_size,ack_count,-0.03319908779555123
AVG,ack_count,-0.03319908779555123
DNS,fin_count,-0.03318025756307882
DHCP,Rate,-0.03275812211419035
SSH,Time_To_Live,0.03272828814373361
Tot_sum,ack_count,-0.03236108914242564
SSH,psh_flag_number,0.031543165991987275
Tot_size,UDP,-0.031040585331317923
AVG,UDP,-0.031040585331317923
Max,TCP,-0.030796896882439667
Variance,fin_count,-0.03030726661402702
Number,IRC,-0.030038414380479463
ARP,fin_flag_number,-0.029321729770990908
IPv,fin_flag_number,0.029321728312544277
LLC,fin_flag_number,0.029321728312544277
Rate,Header_Length,0.029301964861520903
Variance,fin_flag_number,-0.02890615419064509
HTTP,Rate,0.02890051912079847
Variance,DNS,0.028592303934714635
UDP,Time_To_Live,-0.028276211700727527
SSH,HTTPS,0.02793128636528827
TCP,DNS,-0.027200928568340197
LLC,psh_flag_number,-0.026970834423123098
IPv,psh_flag_number,-0.026970834423123098
ARP,psh_flag_number,0.02697082580891063
ICMP,DNS,-0.02645024347437846
Min,Time_To_Live,0.026139187921816156
Std,ICMP,0.02586626515859607
Number,UDP,0.025244017040311057
SSH,Rate,-0.025169810504366404
IGMP,Time_To_Live,0.023940950179211343
DNS,psh_flag_number,0.02332631099646099
HTTP,Time_To_Live,-0.02285594552207852
Std,SSH,0.02269800638481232
HTTPS,ece_flag_number,0.022571496089471284
Std,HTTP,0.02245252541629769
IGMP,HTTPS,0.0220516032319906
Number,HTTP,-0.021922768319060298
Tot_size,DNS,0.02114890676452037
AVG,DNS,0.02114890676452037
IGMP,ack_flag_number,0.021099255284622757
ece_flag_number,Time_To_Live,0.021034138321273904
TCP,Telnet,0.020686420558637092
DNS,HTTP,0.02026493244624509
LLC,IGMP,-0.020132606642377482
IPv,IGMP,-0.020132606642377482
IGMP,ARP,0.020132603941571032
Tot_sum,SSH,-0.01990354722106252
IRC,Header_Length,0.019884035261361267
Max,ICMP,-0.019318797899732478
IPv,cwr_flag_number,-0.019235951674480892
LLC,cwr_flag_number,-0.019235951674480892
ARP,cwr_flag_number,0.019235951008082883
ece_flag_number,ack_flag_number,0.01918891122805799
DNS,fin_flag_number,-0.01914958674815771
HTTPS,cwr_flag_number,0.019126627633477965
ece_flag_number,Header_Length,0.01909944779530478
DHCP,syn_count,-0.01879412544638817
cwr_flag_number,Header_Length,0.018724571498513816
Std,cwr_flag_number,0.01847831613685674
SSH,Telnet,0.018425972139627607
Std,IGMP,0.018382449608147295
DHCP,Header_Length,0.018113008125941306
Variance,psh_flag_number,0.018096999283452115
Max,IGMP,0.017965536634969304
Variance,ack_count,0.017832157063045626
ARP,HTTP,-0.017373004528170654
IPv,HTTP,0.017372998388695535
LLC,HTTP,0.017372998388695535
Std,ece_flag_number,0.017293233615673025
Telnet,Header_Length,0.017155205559394815
Variance,DHCP,0.016913519140185605
IGMP,DNS,0.01678993937377908
TCP,SSH,0.01664158340538493
cwr_flag_number,ack_flag_number,0.016636503284084142
Max,cwr_flag_number,0.016631598559390528
Tot_sum,UDP,0.016461095612381856
TCP,IRC,0.016340911772696563
Variance,IGMP,0.016216194732385582
SSH,syn_count,-0.016183513547588575
DNS,ack_count,-0.01614112169186213
Max,SSH,0.01609192252298642
DHCP,syn_flag_number,-0.015901196152284015
DHCP,UDP,0.01575941842260657
Number,Telnet,-0.01574704228922376
IPv,ece_flag_number,-0.01564750876938834
LLC,ece_flag_number,-0.01564750876938834
ARP,ece_flag_number,0.01564750773077221
DHCP,IRC,0.01538495634063725
Max,ece_flag_number,0.015178881460230751
Std,psh_flag_number,0.015095404214167907
LLC,ICMP,0.01491103100867849
IPv,ICMP,0.01491103100867849
ICMP,ARP,-0.014911018154823454
Variance,cwr_flag_number,0.014849320371562821
cwr_flag_number,Time_To_Live,0.014798214909292267
Telnet,syn_flag_number,0.01452548474352684
IGMP,Rate,-0.014493277051628782
Tot_size,DHCP,0.014488525910150932
AVG,DHCP,0.014488525910150932
Number,IAT,-0.01444929755095936
IRC,SSH,0.014268000514140351
IAT,IPv,-0.013921087879612905
IAT,LLC,-0.013921087879612905
IAT,ARP,0.013921085340396617
IAT,Max,0.013585270797186763
Std,TCP,0.013483416957663258
IRC,Time_To_Live,0.013399811799196353
IRC,DNS,0.013386002184624208
UDP,Telnet,-0.013264854304752929
Min,ack_flag_number,0.013247573654745272
SSH,syn_flag_number,-0.013130447808124975
IAT,Time_To_Live,0.01310332951043158
IGMP,DHCP,0.012812800392168077
DHCP,SSH,0.012798234257789488
HTTPS,fin_flag_number,0.012793558553321097
Telnet,rst_flag_number,0.011583338563270493
Variance,ece_flag_number,0.011560152242882286
IRC,ack_flag_number,0.011225224538312702
ICMP,SSH,-0.01121001490867288
Min,DHCP,-0.01117953777739839
ICMP,DHCP,-0.010922053364945271
DHCP,rst_count,-0.010894059618409639
ece_flag_number,Rate,-0.010761046722682778
Tot_sum,IRC,-0.010701569777379865
Tot_sum,Telnet,-0.010682008811210906
IPv,IRC,-0.010665275886816185
LLC,IRC,-0.010665275886816185
ARP,IRC,0.010665274906677177
Tot_sum,DHCP,-0.010664184312158214
IPv,Header_Length,-0.010654020067660912
LLC,Header_Length,-0.010654020067660912
ARP,Header_Length,0.010653990220356336
TCP,SMTP,0.010536148946194585
SSH,rst_count,-0.010496143555770207
DHCP,rst_flag_number,-0.010481783200896069
Variance,HTTP,0.010429811003317224
IAT,Std,0.010308432712747935
Tot_sum,ARP,0.010163569747089806
Tot_sum,IPv,-0.01016353348336619
Tot_sum,LLC,-0.01016353348336619
IGMP,Header_Length,0.010101415706393075
SMTP,syn_flag_number,0.01001197300091387
SSH,cwr_flag_number,0.00999884966942836
IPv,ack_count,0.009843724246382624
LLC,ack_count,0.009843724246382624
ARP,ack_count,-0.009843722297611934
cwr_flag_number,Rate,-0.009818114656710647
DNS,cwr_flag_number,0.009610555820655314
AVG,Telnet,-0.009534916138110958
Tot_size,Telnet,-0.009534916138110958
SSH,rst_flag_number,-0.009426499719814841
IGMP,syn_count,-0.009426188857117448
IGMP,psh_flag_number,0.009375211045310767
Min,SSH,-0.009363191280631379
Variance,SSH,0.009354336132875615
HTTPS,rst_flag_number,-0.009088333293812237
HTTPS,rst_count,-0.00902180550975656
ICMP,IRC,-0.008952557272637286
IGMP,syn_flag_number,-0.008921010242104047
IAT,ack_flag_number,0.008803765359408739
SMTP,Header_Length,0.008795831348170751
SSH,fin_count,-0.008763301220004264
ICMP,Telnet,-0.008716192218218084
DHCP,fin_count,-0.008664154143647412
DHCP,psh_flag_number,0.008652165125938855
UDP,IRC,-0.008597990090146092
IRC,syn_flag_number,0.008521145615401775
Variance,ICMP,-0.008249975131478236
Variance,IRC,0.008232743515415945
IAT,HTTPS,0.00814758704125946
Max,HTTP,0.007915193145301697
DNS,ece_flag_number,0.007864886274054085
AVG,ICMP,-0.0073525029648669835
Tot_size,ICMP,-0.0073525029648669835
Number,SMTP,-0.007227360417601114
Max,Telnet,-0.007204382691150442
SSH,ece_flag_number,0.0070607955499152695
IRC,rst_flag_number,0.00698793498182317
syn_count,ece_flag_number,-0.006810661127232549
UDP,SMTP,-0.006788142067996765
SSH,SMTP,0.006761906084095844
ece_flag_number,psh_flag_number,0.006694502823462808
Tot_size,cwr_flag_number,0.006687370700507556
AVG,cwr_flag_number,0.006687370700507556
syn_count,cwr_flag_number,-0.006569557123613351
IRC,HTTPS,0.006362297838616355
HTTPS,syn_count,-0.0063424782470398195
Min,IRC,-0.006285292817717679
ARP,UDP,-0.006078793253378785
LLC,UDP,0.006078789972136624
IPv,UDP,0.006078789972136624
Tot_size,ece_flag_number,0.0060659788834428185
AVG,ece_flag_number,0.0060659788834428185
IGMP,rst_count,-0.006015662461261781
DHCP,TCP,-0.005998905338505471
IGMP,rst_flag_number,-0.005992998388999586
UDP,SSH,-0.005934187489525729
Min,IGMP,-0.005837744422188602
Telnet,syn_count,0.005835668137694053
Tot_size,IRC,-0.005790722369169546
AVG,IRC,-0.005790722369169546
Min,Telnet,-0.005778156147453403
Tot_sum,IGMP,-0.0057601135498392166
Std,Telnet,-0.005624208454921513
TCP,ece_flag_number,0.005519417752007933
DHCP,fin_flag_number,-0.005505304688239602
IAT,DNS,0.005362600171235415
SSH,fin_flag_number,-0.005261370791597162
ack_count,Time_To_Live,0.0052272719032075456
IAT,Header_Length,0.005188841693742552
Tot_sum,SMTP,-0.00517756213447915
Min,ece_flag_number,-0.005048356540741885
IAT,Rate,-0.005044004937151539
IGMP,ICMP,-0.005021933381175865
IGMP,fin_count,-0.0049096804379878435
TCP,cwr_flag_number,0.0048909902610011595
Tot_size,SMTP,-0.0048276997375043765
AVG,SMTP,-0.0048276997375043765
Telnet,ack_flag_number,0.004710360452980758
cwr_flag_number,psh_flag_number,0.004578120043677859
UDP,ece_flag_number,-0.004563545968432707
Variance,IAT,0.004554056258057769
SMTP,Time_To_Live,-0.004538558129401931
Tot_size,IGMP,0.004372657860648304
AVG,IGMP,0.004372657860648304
Telnet,rst_count,0.004336786156961649
rst_count,ece_flag_number,-0.004328498140181452
IRC,psh_flag_number,0.004299220710338728
ICMP,SMTP,-0.004239332149852409
IAT,AVG,0.0042207226212555935
IAT,Tot_size,0.0042207226212555935
IRC,Rate,-0.004169037028366583
IGMP,SSH,0.00406044794131422
Telnet,fin_flag_number,0.0040504964458060976
Telnet,fin_count,0.0040483295633123645
rst_count,cwr_flag_number,-0.004019647183398795
Min,cwr_flag_number,-0.004013254188994093
Max,SMTP,-0.004012409589554673
HTTPS,fin_count,0.003936959970726605
Tot_sum,ece_flag_number,-0.003842668880793724
fin_count,ece_flag_number,-0.003755676911469728
Tot_sum,cwr_flag_number,-0.0037541516295785788
DHCP,HTTP,-0.0036872705116902187
AVG,SSH,0.0036501302426669613
Tot_size,SSH,0.0036501302426669613
Max,psh_flag_number,-0.00361020918452329
IGMP,fin_flag_number,-0.003415138588942359
SMTP,syn_count,0.0033919618571909495
IAT,psh_flag_number,0.003371852808160283
IAT,ack_count,0.0033396896962522033
Telnet,Time_To_Live,-0.0033264653978795885
fin_count,cwr_flag_number,-0.003323694395137823
IAT,syn_count,-0.003280805604077032
Std,SMTP,-0.003280746269527657
SSH,ack_count,-0.0030862903273486952
IAT,syn_flag_number,-0.003085179612852476
SMTP,rst_flag_number,0.0029977291176680894
Telnet,HTTPS,-0.0029289129733062716
ICMP,cwr_flag_number,-0.0029233102900625145
Min,SMTP,-0.0028081814285462144
IRC,fin_flag_number,0.00273444432471284
Variance,Telnet,-0.0026900789632290346
LLC,Telnet,-0.0026618847470342424
IPv,Telnet,-0.0026618847470342424
ARP,Telnet,0.002661882484286858
cwr_flag_number,rst_flag_number,-0.002579273931194436
UDP,cwr_flag_number,-0.002379063700983368
Telnet,psh_flag_number,0.002361468825624956
IAT,ICMP,-0.0023136886760331465
IGMP,HTTP,-0.002236055131564845
Telnet,ack_count,0.0021625893228920633
HTTPS,syn_flag_number,-0.002127169589008615
SMTP,fin_count,0.0021123157176395546
IRC,fin_count,0.0021027032181001114
ARP,SMTP,-0.002077909214052838
LLC,SMTP,0.002077908896187185
IPv,SMTP,0.002077908896187185
SMTP,fin_flag_number,0.0020264319375627444
DHCP,ack_count,-0.00198048414032826
SMTP,HTTPS,-0.0019651458909627447
IAT,rst_count,-0.0019426640988434156
SMTP,rst_count,0.0019299595982151475
IAT,rst_flag_number,-0.0019133739447917313
SMTP,Rate,0.0019003185544259644
IRC,rst_count,0.0018689060858779582
SMTP,DNS,-0.0018636604026311824
IAT,HTTP,0.0018601589497255352
Std,IRC,0.0018015170747825466
IRC,syn_count,0.0017603485696501614
Telnet,Rate,0.0017577599162760576
IGMP,cwr_flag_number,0.0016920594948444663
IAT,Min,-0.0015881785068995742
ece_flag_number,fin_flag_number,-0.0015682721025383616
IGMP,ece_flag_number,0.0014979628907632995
cwr_flag_number,syn_flag_number,-0.0014801338293521792
Variance,SMTP,-0.0013799426291609183
IAT,DHCP,0.0013237962623256936
HTTP,cwr_flag_number,-0.0012905167785138528
IAT,SSH,0.0012257873955031171
IAT,UDP,0.0012136785650998987
HTTP,ece_flag_number,-0.0012037729249267917
ece_flag_number,rst_flag_number,-0.0011740203615938536
DHCP,Telnet,-0.0011476725883698886
cwr_flag_number,fin_flag_number,-0.0009388947877972084
ece_flag_number,syn_flag_number,-0.0009220848068534738
Telnet,DNS,-0.0008914107402534824
IAT,fin_count,-0.0008840526751740081
ICMP,ece_flag_number,-0.0008099862245991962
IAT,TCP,0.0007692096114869866
SSH,HTTP,-0.000760972713804711
IAT,IGMP,0.0007064564238593572
ack_count,ece_flag_number,-0.0007059553475331159
IAT,fin_flag_number,-0.0007013671694407231
IGMP,IRC,-0.0005893141805448872
SMTP,ack_flag_number,-0.0005854760432249653
SMTP,psh_flag_number,0.0005820674480135348
SMTP,ack_count,0.0005812106217423164
DHCP,SMTP,-0.0005560613351842975
IRC,ack_count,0.0005449108074282884
IRC,ece_flag_number,-0.0005356593907510865
IGMP,Telnet,-0.0005314555607412259
ack_count,cwr_flag_number,-0.0005196927129272235
SMTP,HTTP,-0.0005148622852654641
IGMP,UDP,0.0005068563019998562
Telnet,ece_flag_number,-0.00048306857577174177
Telnet,HTTP,-0.0004348164835155545
IRC,cwr_flag_number,-0.0004292754720876515
Telnet,cwr_flag_number,-0.00038712938575457347
Max,IRC,0.0003735907458748322
IAT,IRC,0.0003410745256651489
IGMP,TCP,-0.00028056749034656843
IGMP,SMTP,-0.00025848773474892236
DHCP,ece_flag_number,0.00023628594355144016
